2021-11-11 15:13:58,736 - robot.logger - INFO - drl_robot\20211111201358 vs. random_bot, self_play=True
2021-11-11 15:13:59,673 - robot.logger - INFO - 
[[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]
 [-0.05 -0.06  0.   -0.02  0.16  0.06  0.04 -0.06  0.13  0.07]
 [-0.06 -0.02 -0.02 -0.03  0.09  0.   -0.01 -0.05  0.03  0.02]
 [-0.07 -0.05 -0.01 -0.01  0.13  0.02 -0.06 -0.08  0.08  0.12]
 [-0.06  0.01  0.05 -0.05  0.03  0.01  0.03 -0.04  0.05 -0.  ]
 [-0.03 -0.01  0.02 -0.05  0.08  0.01  0.03 -0.08  0.08 -0.01]
 [-0.06 -0.03  0.01 -0.03  0.05  0.02  0.03 -0.02  0.04  0.  ]
 [-0.08 -0.02 -0.07 -0.06  0.13 -0.02  0.03 -0.06  0.04 -0.01]]
2021-11-11 15:14:18,915 - robot.logger - INFO - episode: 30/1000, score =  1 -  5 = -4, e: 0.747, average_score: -0.16, average_reward: -0.104, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:19,600 - robot.logger - INFO - episode: 31/1000, score =  4 -  3 =  1, e: 0.740, average_score: -0.15, average_reward: -0.102, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:20,269 - robot.logger - INFO - episode: 32/1000, score =  3 -  1 =  2, e: 0.732, average_score: -0.13, average_reward: -0.102, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:20,968 - robot.logger - INFO - episode: 33/1000, score =  1 -  4 = -3, e: 0.725, average_score: -0.16, average_reward: -0.100, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:21,758 - robot.logger - INFO - episode: 34/1000, score =  3 -  4 = -1, e: 0.718, average_score: -0.16, average_reward: -0.093, play: 0.6 s., train: 0.2 s.
2021-11-11 15:14:22,554 - robot.logger - INFO - episode: 35/1000, score =  5 -  5 =  0, e: 0.711, average_score: -0.16, average_reward: -0.095, play: 0.7 s., train: 0.1 s.
2021-11-11 15:14:23,358 - robot.logger - INFO - episode: 36/1000, score =  5 -  1 =  4, e: 0.703, average_score: -0.12, average_reward: -0.096, play: 0.7 s., train: 0.1 s.
2021-11-11 15:14:24,148 - robot.logger - INFO - episode: 37/1000, score =  3 -  4 = -1, e: 0.696, average_score: -0.13, average_reward: -0.093, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:25,029 - robot.logger - INFO - episode: 38/1000, score =  6 -  2 =  4, e: 0.689, average_score: -0.09, average_reward: -0.094, play: 0.7 s., train: 0.1 s.
2021-11-11 15:14:25,826 - robot.logger - INFO - episode: 39/1000, score =  4 -  4 =  0, e: 0.683, average_score: -0.09, average_reward: -0.096, play: 0.7 s., train: 0.1 s.
2021-11-11 15:14:26,595 - robot.logger - INFO - episode: 40/1000, score =  5 -  5 =  0, e: 0.676, average_score: -0.09, average_reward: -0.096, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:27,349 - robot.logger - INFO - episode: 41/1000, score =  4 -  3 =  1, e: 0.669, average_score: -0.08, average_reward: -0.097, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:28,114 - robot.logger - INFO - episode: 42/1000, score =  2 -  6 = -4, e: 0.662, average_score: -0.12, average_reward: -0.089, play: 0.6 s., train: 0.1 s.
2021-11-11 15:14:29,182 - robot.logger - INFO - episode: 43/1000, score =  4 -  4 =  0, e: 0.656, average_score: -0.11, average_reward: -0.073, play: 0.9 s., train: 0.1 s.
2021-11-11 15:14:30,040 - robot.logger - INFO - episode: 44/1000, score =  3 -  4 = -1, e: 0.649, average_score: -0.12, average_reward: -0.066, play: 0.7 s., train: 0.1 s.
